dataset,IR,fold,rep,f1,precision,recall,balanced_accuracy,geometric_mean,roc_auc
dataset_954_spectrometer,0.11554621848739496,4,0,0.7,0.7777777777777778,0.6363636363636364,0.8076555023923445,0.7892822734466001,0.9377990430622011
dataset_958_segment,0.16666666666666666,0,0,0.9923664122137404,1.0,0.9848484848484849,0.9924242424242424,0.9923953268977463,0.9999043464952556
dataset_958_segment,0.16666666666666666,1,0,0.9846153846153847,1.0,0.9696969696969697,0.9848484848484849,0.9847319278346619,0.9993878175696358
dataset_958_segment,0.16666666666666666,2,0,0.9465648854961832,0.9538461538461539,0.9393939393939394,0.9659090909090909,0.965545088869989,0.9979530149984696
dataset_958_segment,0.16666666666666666,3,0,0.9846153846153847,1.0,0.9696969696969697,0.9848484848484849,0.9847319278346619,0.9998278236914601
dataset_958_segment,0.16666666666666666,4,0,0.9558823529411765,0.9285714285714286,0.9848484848484849,0.9861111111111112,0.9861103027713031,0.9997704315886135
dataset_962_mfeat-morphological,0.1111111111111111,0,0,1.0,1.0,1.0,1.0,1.0,1.0
dataset_962_mfeat-morphological,0.1111111111111111,1,0,0.9743589743589743,1.0,0.95,0.975,0.9746794344808963,0.975
dataset_962_mfeat-morphological,0.1111111111111111,2,0,1.0,1.0,1.0,1.0,1.0,1.0
dataset_962_mfeat-morphological,0.1111111111111111,3,0,0.9873417721518988,1.0,0.975,0.9875,0.9874208829065749,0.9874305555555556
dataset_962_mfeat-morphological,0.1111111111111111,4,0,1.0,1.0,1.0,1.0,1.0,1.0
dataset_966_analcatdata_halloffame,0.102880658436214,0,0,0.7441860465116279,0.8888888888888888,0.64,0.8158847736625514,0.7967010168740002,0.9025514403292181
dataset_966_analcatdata_halloffame,0.102880658436214,1,0,0.5641025641025641,0.7857142857142857,0.44,0.7138271604938271,0.6592176432973923,0.822469135802469
dataset_966_analcatdata_halloffame,0.102880658436214,2,0,0.5789473684210527,0.8461538461538461,0.44,0.7158847736625514,0.6605895857664161,0.8243621399176955
dataset_966_analcatdata_halloffame,0.102880658436214,3,0,0.7317073170731707,0.9375,0.6,0.7979423868312757,0.7730012058189372,0.8961316872427983
dataset_966_analcatdata_halloffame,0.102880658436214,4,0,0.7,0.9333333333333333,0.56,0.7779423868312758,0.7467901132520629,0.8999999999999999
dataset_968_analcatdata_birthday,0.16987179487179488,0,0,0.5,0.8,0.36363636363636365,0.6737536656891496,0.5981398339828802,0.8570381231671556
dataset_968_analcatdata_birthday,0.16987179487179488,1,0,0.35294117647058826,0.5,0.2727272727272727,0.6121700879765396,0.5094416470891011,0.8247800586510264
